ID;time;location;sensorType;sensorId;value
191;1527758258048                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;120.0
192;1527758305789                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;121.0
193;1527758306873                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;121.0
194;1527758315057                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;121.0
195;1527758340335                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;122.0
196;1527758373927                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;123.0
197;1527758375023                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;123.0
198;1527758419798                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;124.0
199;1527758397119                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;124.0
200;1527758410482                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;125.0
201;1527758439002                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;126.0
202;1527758439932                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;126.0
203;1527758450771                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;126.0
204;1527758467339                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;127.0
205;1527758495551                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;128.0
206;1527758496491                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;128.0
207;1527758504530                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;128.0
208;1527758525319                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;129.0
209;1527758559661                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;129.0
210;1527758571299                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;130.0
211;1527758600293                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;131.0
212;1527758614378                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;131.0
213;1527758628621                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;132.0
214;1527758656963                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;133.0
215;1527758668540                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;133.0
216;1527758685590                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;134.0
217;1527758717989                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;135.0
218;1527758748410                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;136.0
219;1527758749410                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;136.0
220;1527758777238                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;136.0
221;1527758780592                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;137.0
222;1527758811956                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;138.0
223;1527758812965                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;138.0
224;1527758835692                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;138.0
225;1527758843374                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;139.0
226;1527758876786                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;140.0
